stockID,clusterID,hurst exponent
CTLP,2,0.4547057947474202
CTS,3,0.5943726487812927
CTSH,3,0.5931280260410065
CUEN,3,0.6376652215606325
CVLT,4,0.7562622921584835
CVV,2,0.4783664190814406
CYN,3,0.5763263973834544
DAIO,2,0.5400186121556055
DATS,2,0.4597834748362887
DATSW,1,0.35369421890043856
DAVE,3,0.6737021665078229
DBX,2,0.5376591519793436
DDD,3,0.5760851966125489
DDOG,1,0.3500673211700771
DFLI,3,0.6481663025946565
DGII,2,0.4653685679662329
DGLY,2,0.5301089055057748
DH,3,0.5921762798991853
DHX,1,0.3490537004130321
DIOD,2,0.4713931280776929
DJCO,1,0.36010466860171736
DLB,1,0.33247234753696403
DMRC,3,0.5912034919170056
DNB,3,0.5745912596933974
DOCN,0,0.2967489496333083
DOCU,1,0.38551999894950045
DOMO,3,0.6076524972637792
DSP,2,0.5152147303350332
DT,3,0.590641398836383
DTST,2,0.5279384482147695
DUOL,1,0.3010399150166234
DUOT,3,0.558927411822692
EB,3,0.5682380645216142
EEFT,1,0.43772543367122024
EGAN,2,0.5407093291994566
EGHT,3,0.6087733558920907
EGIO,2,0.4881042087780929
EMKR,3,0.6048211259694543
ENPH,1,0.3293876554533154
ENTG,2,0.5280097116692789
ENV,3,0.6846316941394631
EOSE,1,0.43211640316252425
EOSEW,1,0.42822800688242996
EPAM,3,0.5746963947669608
ERII,3,0.5691521446614213
ESP,3,0.559603079310184
ESTC,1,0.44725404473904706
EVBG,3,0.6169027462002639
EVCM,2,0.4567418707701472
EVER,3,0.6917023381702131
EVLV,2,0.5048506304016966
EXFY,1,0.4485083053381792
EXLS,0,0.2881429088998369
EZFL,3,0.5901204765459109
FFIV,2,0.45487804471359106
FICO,1,0.40173268490718234
FIVN,3,0.6477638404303788
FLYW,3,0.6322163785593533
FORA,1,0.4144553304295042
FORM,2,0.5368593002318913
FOUR,2,0.5091306385553015
FRGT,4,0.8043741039089137
FROG,1,0.40947616906426626
FRSH,4,0.7306607159628847
FSLR,3,0.6529231202041446
FSS,3,0.5636924055177732
FTCI,1,0.373374981025117
FTNT,2,0.47831482876842807
GBTG,1,0.4374935128131229
GDDY,4,0.7941877727976686
GDRX,2,0.4628027555886587
GDYN,2,0.5493443187995765
GEGGL,1,0.4089011359548207
GEHC,1,0.4483068285710537
GEN,2,0.4555915988985226
GFS,2,0.5258681535918558
GIC,3,0.5874269553248714
GLW,3,0.6496680556233718
GMGI,3,0.5733562059350451
GOOG,3,0.5763862558023914
GOOGL,3,0.5674747346238751
GROM,1,0.4247168933294506
GSIT,2,0.4823242694394936
GTLB,2,0.4705264695697993
GTLS,3,0.5596569488069515
GVP,2,0.5250409007256843
GWRE,2,0.4699423713602949
HAYW,1,0.40926766650599455
HCKT,1,0.41492442757939896
HCP,2,0.5123561207145377
HCTI,3,0.6078334060726828
HLIT,2,0.5048706321456512
HLTH,2,0.5393311568739648
HOLO,1,0.3377368844090156
HOOD,3,0.6428587942172401
HPQ,2,0.45069856860567464
HUBB,3,0.589444372013526
HUBS,2,0.49579333842492235
IBM,2,0.5304970696407948
ICHR,3,0.5635327305649168
IDAI,4,0.7045600883356864
IDN,2,0.4987888687999313
III,4,0.7309675574433347
IIIV,2,0.47427136285935434
IMMR,2,0.5274772352356568
IMXI,1,0.38540480127263443
INDI,2,0.45586140051238194
INOD,2,0.4650789126621114
INSE,1,0.3626176327166194
INTA,2,0.505229256311086
INTC,4,0.7305458659591744
INTT,2,0.49790528652998245
INTU,1,0.39324244143352305
INTZ,3,0.5714730950207438
INVE,3,0.6462780311071634
IPDN,3,0.6073263873002182
IPGP,2,0.5480846596950447
ISDR,4,0.8216392660043399
ISUN,2,0.548187321592177
IVAC,1,0.38830861619202545
IVDA,2,0.5101105171239795
JAMF,1,0.3964148847974376
JBL,2,0.45968064232435146
JKHY,1,0.3522737448996415
JNPR,2,0.48781940993896034
KAI,2,0.49239557914177706
KBNT,4,0.7966840850218869
KE,3,0.5897657393901029
KLAC,3,0.6534237371919932
