Symbol,Name,Sector,Industry,clusterID
POCI,Precision Optics Corporation Inc. Common stock,Technology,Electronic Components,0
POET,POET Technologies Inc. Common Shares,Technology,Semiconductors,3
POWI,Power Integrations Inc. Common Stock,Technology,Semiconductors,0
PRCH,Porch Group Inc. Common Stock,Technology,Computer Software: Prepackaged Software,-1
PRFT,Perficient Inc. Common Stock,Technology,EDP Services,0
PRGS,Progress Software Corporation Common Stock (DE),Technology,Computer Software: Prepackaged Software,2
PRO,PROS Holdings Inc. Common Stock,Technology,EDP Services,1
PRSO,Peraso Inc. Common Stock,Technology,Semiconductors,3
PRST,Presto Automation Inc. Common Stock,Technology,EDP Services,-1
PRTH,Priority Technology Holdings Inc. Common Stock,Technology,EDP Services,3
PRVA,Privia Health Group Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,-1
PTC,PTC Inc. Common Stock,Technology,Computer Software: Prepackaged Software,2
PUBM,PubMatic Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,-1
PWSC,PowerSchool Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,-1
PXLW,Pixelworks Inc.  Common Stock,Technology,Semiconductors,3
PYCR,Paycor HCM Inc. Common Stock,Technology,Computer Software: Prepackaged Software,-1
QCOM,QUALCOMM Incorporated Common Stock,Technology,Computer peripheral equipment,4
QLYS,Qualys Inc. Common Stock,Technology,EDP Services,2
QMCO,Quantum Corporation Common Stock,Technology,Electronic Components,1
QUBT,Quantum Computing Inc. Common Stock,Technology,Computer Manufacturing,1
QUIK,QuickLogic Corporation Common Stock,Technology,Semiconductors,2
RAMP,LiveRamp Holdings Inc. Common Stock,Technology,EDP Services,1
RBBN,Ribbon Communications Inc. Common Stock,Technology,EDP Services,1
RBLX,Roblox Corporation Class A Common Stock,Technology,EDP Services,-1
RCRT,Recruiter.com Group Inc. Common Stock,Technology,Interactive Media,1
RDVT,Red Violet Inc. Common Stock ,Technology,Computer Software: Prepackaged Software,0
REFR,Research Frontiers Incorporated Common Stock,Technology,Industrial Machinery/Components,1
REKR,Rekor Systems Inc. Common Stock,Technology,EDP Services,1
RELL,Richardson Electronics Ltd. Common Stock,Technology,Electronic Components,0
RELY,Remitly Global Inc. Common Stock,Technology,Computer Software: Prepackaged Software,-1
RFIL,RF Industries Ltd. Common Stock,Technology,Electrical Products,3
RGTI,Rigetti Computing Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,-1
RIOT,Riot Platforms Inc. Common Stock ,Technology,Retail: Computer Software & Peripheral Equipment,3
RMBS,Rambus Inc. Common Stock,Technology,Semiconductors,2
RMNI,Rimini Street Inc. (DE) Common Stock,Technology,EDP Services,3
ROG,Rogers Corporation Common Stock,Technology,Industrial Machinery/Components,0
ROP,Roper Technologies Inc. Common Stock,Technology,Computer Software: Prepackaged Software,2
RPAY,Repay Holdings Corporation Class A Common Stock,Technology,EDP Services,1
RPD,Rapid7 Inc. Common Stock,Technology,Computer Software: Prepackaged Software,3
RSSS,Research Solutions Inc Common Stock,Technology,Computer Software: Prepackaged Software,4
RUM,Rumble Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,-1
RVYL,Ryvyl Inc. Common Stock,Technology,EDP Services,3
RXT,Rackspace Technology Inc. Common Stock,Technology,EDP Services,-1
S,SentinelOne Inc. Class A Common Stock,Technology,EDP Services,-1
SANM,Sanmina Corporation Common Stock,Technology,Electrical Products,2
SATS,EchoStar  Corporation Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,1
SBIG,SpringBig Holdings Inc. Common Stock,Technology,EDP Services,-1
SCKT,Socket Mobile Inc. Common Stock,Technology,Computer Manufacturing,3
SCSC,ScanSource Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,2
SCWX,SecureWorks Corp. Class A Common Stock,Technology,EDP Services,3
SDGR,Schrodinger Inc. Common Stock,Technology,Computer Software: Prepackaged Software,-1
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,Technology,Computer Software: Prepackaged Software,3
SEAC,SeaChange International Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,1
SGH,SMART Global Holdings Inc. Ordinary Shares,Technology,Semiconductors,0
SGMA,SigmaTron International Inc. Common Stock,Technology,Electrical Products,0
SHCR,Sharecare Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,-1
SHCRW,Sharecare Inc. Warrant,Technology,Computer Software: Prepackaged Software,-1
SHLS,Shoals Technologies Group Inc. Class A Common Stock,Technology,Semiconductors,-1
SITM,SiTime Corporation Common Stock,Technology,Semiconductors,-1
SKYT,SkyWater Technology Inc. Common Stock,Technology,Semiconductors,-1
SKYX,SKYX Platforms Corp. Common Stock,Technology,Electrical Products,-1
SLAB,Silicon Laboratories Inc. Common Stock,Technology,Semiconductors,0
SLNH,Soluna Holdings Inc. Common Stock,Technology,EDP Services,3
SLNHP,Soluna Holdings Inc 9.0% Series A Cumulative Perpetual Preferred Stock ,Technology,EDP Services,-1
SLP,Simulations Plus Inc. Common Stock,Technology,Computer Software: Prepackaged Software,1
SMAR,Smartsheet Inc. Class A Common Stock,Technology,EDP Services,3
SMCI,Super Micro Computer Inc. Common Stock,Technology,Computer Manufacturing,2
SMRT,SmartRent Inc. Class A Common Stock,Technology,EDP Services,-1
SMSI,Smith Micro Software Inc. Common Stock,Technology,Computer Software: Prepackaged Software,3
SMTC,Semtech Corporation Common Stock,Technology,Semiconductors,3
SNAP,Snap Inc. Class A Common Stock,Technology,Internet and Information Services,3
SNCR,Synchronoss Technologies Inc. Common Stock,Technology,EDP Services,1
SNCRL,Synchronoss Technologies Inc. 8.375% Senior Notes due 2026,Technology,EDP Services,-1
SNOW,Snowflake Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,-1
SNPS,Synopsys Inc. Common Stock,Technology,EDP Services,2
SOFO,Sonic Foundry Inc. Common Stock,Technology,Computer Software: Prepackaged Software,1
SOPA,Society Pass Incorporated Common Stock,Technology,EDP Services,-1
SOUN,SoundHound AI Inc Class A Common Stock,Technology,EDP Services,-1
SPOK,Spok Holdings Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,2
SPSC,SPS Commerce Inc. Common Stock,Technology,EDP Services,2
SPT,Sprout Social Inc Class A Common Stock,Technology,EDP Services,-1
