Symbol,Word_Embedding_Dim1,Word_Embedding_Dim2,Word_Embedding_Dim3,Word_Embedding_Dim4,Word_Embedding_Dim5,Basic Materials,Consumer Discretionary,Consumer Staples,Energy,Finance,Health Care,Industrials,Miscellaneous,Real Estate,Technology,Telecommunications,Utilities
AHT,-0.15613766,0.03829646,-0.047623873,0.1197649,0.002385759,0,0,0,0,0,0,0,0,1,0,0,0
AIB,0.011158204,0.008342862,0.04393792,0.14729564,0.13672677,0,0,0,0,1,0,0,0,0,0,0,0
AIG,-0.13113174,-0.17188632,0.017340565,0.12393894,0.106150605,0,0,0,0,1,0,0,0,0,0,0,0
AIM,0.15672484,0.10214861,0.16656306,0.043771744,0.13950983,0,0,0,0,0,1,0,0,0,0,0,0
AIMAU,0.19517556,-0.10211897,0.1885045,-0.021695446,0.16756387,0,0,0,0,1,0,0,0,0,0,0,0
AIMD,0.007636404,0.18362932,0.04106803,0.082906865,-0.15034683,0,0,0,0,0,1,0,0,0,0,0,0
AIN,0.123974584,0.0445487,0.07254908,-0.014358377,-0.08877039,0,1,0,0,0,0,0,0,0,0,0,0
AINC,-0.1881303,0.026843738,0.09711137,-0.001376486,-0.028259516,0,0,0,0,1,0,0,0,0,0,0,0
AIP,0.1431621,-0.16605663,0.097761415,0.004612446,0.102988884,0,0,0,0,0,0,0,0,0,1,0,0
AIR,-0.019704986,-0.13675126,0.10052486,0.05243194,-0.014158988,0,0,0,0,0,0,1,0,0,0,0,0
AIRG,-0.050909497,-0.062473632,-0.007546282,-0.09533803,-0.08705521,0,0,0,0,0,0,0,0,0,1,0,0
AIRI,-0.074037075,0.024022985,-0.10040846,0.014646029,0.09889054,0,0,0,0,0,0,1,0,0,0,0,0
AIRS,0.14074714,-0.034784127,-0.10360916,-0.07945845,0.015357375,0,0,0,0,0,1,0,0,0,0,0,0
AIRT,0.058351398,0.08643997,-0.09298842,-0.057153773,0.17802152,0,1,0,0,0,0,0,0,0,0,0,0
AIRTP,-0.01872325,0.087295845,-0.06413503,-0.14720294,-0.12785852,0,1,0,0,0,0,0,0,0,0,0,0
AIT,-0.10307209,-0.19434938,0.067432664,-0.16190657,0.13867812,0,0,0,0,0,0,1,0,0,0,0,0
AIV,-0.16772786,0.13607836,-0.07057063,-0.19703381,-0.10491426,0,0,0,0,0,0,0,0,1,0,0,0
AIZ,0.152543,0.19184867,0.017091895,-0.030765463,0.087956384,0,0,0,0,1,0,0,0,0,0,0,0
AIZN,-0.013298845,-0.17470415,0.19617686,-0.011616135,0.19850603,0,0,0,0,1,0,0,0,0,0,0,0
AJG,-0.11269224,-0.17126605,-0.026282072,-0.11194758,-0.14633672,0,0,0,0,1,0,0,0,0,0,0,0
AJX,0.032498788,-0.116002105,-0.10630975,-0.19641645,-0.051168658,0,0,0,0,0,0,0,0,1,0,0,0
AKAM,-0.051200747,-0.1650641,0.03830292,-0.023592567,-0.17899549,0,1,0,0,0,0,0,0,0,0,0,0
AKBA,-0.14424105,0.07484858,-0.002606344,0.18699244,0.060726188,0,0,0,0,0,1,0,0,0,0,0,0
AKLI,0.050296403,-0.119076565,0.16380604,-0.17809036,0.061051894,0,0,0,0,0,0,0,0,0,1,0,0
AKR,0.008754849,0.086737774,-0.12120807,0.031374406,-0.16945529,0,0,0,0,0,0,0,0,1,0,0,0
AKRO,0.051630042,0.18153994,0.029184867,-0.142007,0.19639623,0,0,0,0,0,1,0,0,0,0,0,0
AKTS,-0.06564524,-0.16385646,-0.030669402,-0.000812984,0.06550801,0,0,0,0,0,0,0,0,0,0,0,1
AKYA,0.13145912,-0.16037528,-0.14445946,-0.16192257,0.16397485,0,0,0,0,0,0,1,0,0,0,0,0
AL,0.07791932,0.19612357,-0.09046066,0.17277162,-0.06205368,0,1,0,0,0,0,0,0,0,0,0,0
ALB,-0.064417265,-0.073785305,0.011424589,-0.14810877,-0.14821717,0,0,0,0,0,0,1,0,0,0,0,0
ALBT,0.17876649,0.067055844,-0.15759902,-0.17661867,-0.041613102,0,0,0,0,0,0,0,0,1,0,0,0
ALDX,-0.1814036,0.03733604,-0.11931603,0.19563118,-0.14693518,0,0,0,0,0,1,0,0,0,0,0,0
ALE,0.17774768,0.10035026,0.08596675,-0.1552619,-0.17242444,0,0,0,0,0,0,0,0,0,0,0,1
ALEC,-0.15431619,-0.029830957,-0.0661691,0.18361053,0.05267825,0,0,0,0,0,1,0,0,0,0,0,0
ALEX,-0.16354744,0.14678583,0.1502984,0.14260824,-0.081868984,0,0,0,0,0,0,0,0,1,0,0,0
ALG,-0.11475153,0.15268776,-0.07121408,-0.11609576,0.09740903,0,0,0,0,0,0,1,0,0,0,0,0
