,Symbol,Name,Sector,Industry,Type
1146,DNUT,Krispy Kreme Inc. Common Stock,Consumer Discretionary,Specialty Foods,EQUITY
1147,DO,Diamond Offshore Drilling Inc. Common Stock,Energy,Oil & Gas Production,EQUITY
1148,DOC,Physicians Realty Trust Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts,EQUITY
1149,DOCN,DigitalOcean Holdings Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,EQUITY
1150,DOCU,DocuSign Inc. Common Stock,Technology,EDP Services,EQUITY
1151,DOMH,Dominari Holdings Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,EQUITY
1152,DOMO,Domo Inc. Class B Common Stock,Technology,Computer Software: Prepackaged Software,EQUITY
1153,DORM,Dorman Products Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,EQUITY
1154,DOV,Dover Corporation Common Stock,Industrials,Industrial Machinery/Components,EQUITY
1155,DPCS,DP Cap Acquisition Corp I Class A Ordinary Shares,Finance,Blank Checks,EQUITY
1156,DPCSU,DP Cap Acquisition Corp I Unit,Finance,Blank Checks,EQUITY
1157,DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1158,DPRO,Draganfly Inc. Common Shares,Consumer Discretionary,Electronic Components,EQUITY
1159,DPZ,Domino's Pizza Inc Common Stock,Consumer Discretionary,Food Distributors,EQUITY
1160,DRCT,Direct Digital Holdings Inc. Class A Common Stock,Consumer Discretionary,Advertising,EQUITY
1161,DRH,Diamondrock Hospitality Company Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
1162,DRI,Darden Restaurants Inc. Common Stock,Consumer Discretionary,Restaurants,EQUITY
1163,DRMA,Dermata Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1164,DRQ,Dril-Quip Inc. Common Stock,Industrials,Metal Fabrications,EQUITY
1165,DRRX,DURECT Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1166,DRUG,Bright Minds Biosciences Inc. Common Stock,Health Care,Pharmaceuticals and Biotechnology,EQUITY
1167,DSGN,Design Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1168,DSGR,Distribution Solutions Group Inc. Common Stock,Industrials,Industrial Machinery/Components,EQUITY
1169,DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,Finance,Investment Managers,EQUITY
1170,DSP,Viant Technology Inc. Class A Common Stock,Technology,EDP Services,EQUITY
1171,DSU,Blackrock Debt Strategies Fund Inc. Common Stock,Finance,Finance Companies,EQUITY
1172,DT,Dynatrace Inc. Common Stock,Technology,EDP Services,EQUITY
1173,DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,Utilities,Electric Utilities: Central,EQUITY
1174,DTE,DTE Energy Company Common Stock,Utilities,Electric Utilities: Central,EQUITY
1175,DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,Finance,Investment Managers,EQUITY
1176,DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,Utilities,Electric Utilities: Central,EQUITY
1177,DTIL,Precision BioSciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1178,DTST,Data Storage Corporation Common Stock,Technology,EDP Services,EQUITY
1179,DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,Utilities,Electric Utilities: Central,EQUITY
1180,DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities,Power Generation,EQUITY
1181,DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,Utilities,Power Generation,EQUITY
