Date,Price
2023/3/15 00:00,11434.05
2023/3/14 00:00,11428.15
2023/3/13 00:00,11188.84
2023/3/10 00:00,11138.89
2023/3/9 00:00,11338.36
2023/3/8 00:00,11576
2023/3/7 00:00,11530.33
2023/3/6 00:00,11675.74
2023/3/3 00:00,11689.01
2023/3/2 00:00,11462.98
2023/3/1 00:00,11379.48
2023/2/28 00:00,11455.54
2023/2/27 00:00,11466.98
2023/2/24 00:00,11394.94
2023/2/23 00:00,11590.4
2023/2/22 00:00,11507.07
2023/2/21 00:00,11492.3
2023/2/17 00:00,11787.27
2023/2/16 00:00,11855.83
2023/2/15 00:00,12070.59
2023/2/14 00:00,11960.14
2023/2/13 00:00,11891.79
2023/2/10 00:00,11718.12
2023/2/9 00:00,11789.58
2023/2/8 00:00,11910.52
2023/2/7 00:00,12113.79
2023/2/6 00:00,11887.45
2023/2/3 00:00,12006.96
2023/2/2 00:00,12200.82
2023/2/1 00:00,11816.32
2023/1/31 00:00,11584.55
2023/1/30 00:00,11393.81
2023/1/27 00:00,11621.71
2023/1/26 00:00,11512.41
2023/1/25 00:00,11313.36
2023/1/24 00:00,11334.27
2023/1/23 00:00,11364.41
2023/1/20 00:00,11140.43
2023/1/19 00:00,10852.27
2023/1/18 00:00,10957.01
2023/1/17 00:00,11095.11
2023/1/13 00:00,11079.16
2023/1/12 00:00,11001.11
2023/1/11 00:00,10931.67
2023/1/10 00:00,10742.63
2023/1/9 00:00,10635.65
2023/1/6 00:00,10569.29
2023/1/5 00:00,10305.24
2023/1/4 00:00,10458.76
2023/1/3 00:00,10386.99
2022/12/30 00:00,10466.48
2022/12/29 00:00,10478.09
2022/12/28 00:00,10213.29
2022/12/27 00:00,10353.23
2022/12/23 00:00,10497.86
2022/12/22 00:00,10476.12
2022/12/21 00:00,10709.37
2022/12/20 00:00,10547.11
2022/12/19 00:00,10546.03
2022/12/16 00:00,10705.41
2022/12/15 00:00,10810.53
2022/12/14 00:00,11170.89
2022/12/13 00:00,11256.81
2022/12/12 00:00,11143.74
2022/12/9 00:00,11004.62
2022/12/8 00:00,11082
2022/12/7 00:00,10958.55
2022/12/6 00:00,11014.89
2022/12/5 00:00,11239.94
2022/12/2 00:00,11461.5
2022/12/1 00:00,11482.45
2022/11/30 00:00,11468
2022/11/29 00:00,10983.78
2022/11/28 00:00,11049.5
2022/11/25 00:00,11226.36
2022/11/23 00:00,11285.32
2022/11/22 00:00,11174.41
2022/11/21 00:00,11024.51
2022/11/18 00:00,11146.06
2022/11/17 00:00,11144.96
2022/11/16 00:00,11183.66
2022/11/15 00:00,11358.41
2022/11/14 00:00,11196.22
2022/11/11 00:00,11323.33
2022/11/10 00:00,11114.15
2022/11/9 00:00,10353.17
2022/11/8 00:00,10616.2
2022/11/7 00:00,10564.52
2022/11/4 00:00,10475.25
2022/11/3 00:00,10342.94
2022/11/2 00:00,10524.8
2022/11/1 00:00,10890.84
2022/10/31 00:00,10988.15
2022/10/28 00:00,11102.45
2022/10/27 00:00,10792.67
2022/10/26 00:00,10970.99
2022/10/25 00:00,11199.12
2022/10/24 00:00,10952.61
2022/10/21 00:00,10859.72
2022/10/20 00:00,10614.84
2022/10/19 00:00,10680.51
2022/10/18 00:00,10772.4
2022/10/17 00:00,10675.8
2022/10/14 00:00,10321.39
2022/10/13 00:00,10649.15
2022/10/12 00:00,10417.1
2022/10/11 00:00,10426.19
