Date,Price,Open,High,Low,Vol.,Change %
2022/10/28 00:00,1534,1534,1534,1534,,-0.0484
2022/10/27 00:00,1612,1612,1612,1612,,-0.0551
2022/10/26 00:00,1706,1706,1706,1706,,-0.0279
2022/10/25 00:00,1755,1755,1755,1755,,-0.0234
2022/10/24 00:00,1797,1797,1797,1797,,-0.0121
2022/10/21 00:00,1819,1819,1819,1819,,-0.0098
2022/10/20 00:00,1837,1837,1837,1837,,-0.0182
2022/10/19 00:00,1871,1871,1871,1871,,-0.0021
2022/10/18 00:00,1875,1875,1875,1875,,0.0174
2022/10/17 00:00,1843,1843,1843,1843,,0.0027
2022/10/14 00:00,1838,1838,1838,1838,,0.011
2022/10/13 00:00,1818,1818,1818,1818,,-0.0294
2022/10/12 00:00,1873,1873,1873,1873,,-0.0163
2022/10/11 00:00,1904,1904,1904,1904,,-0.0206
2022/10/10 00:00,1944,1944,1944,1944,,-0.0087
2022/10/7 00:00,1961,1961,1961,1961,,-0.0156
2022/10/6 00:00,1992,1992,1992,1992,,-0.002
2022/10/5 00:00,1996,1996,1996,1996,,0.0702
2022/10/4 00:00,1865,1865,1865,1865,,0.0431
2022/10/3 00:00,1788,1788,1788,1788,,0.0159
2022/9/30 00:00,1760,1760,1760,1760,,0.0017
2022/9/29 00:00,1757,1757,1757,1757,,-0.0233
2022/9/28 00:00,1799,1799,1799,1799,,-0.0044
2022/9/27 00:00,1807,1807,1807,1807,,-0.0033
2022/9/26 00:00,1813,1813,1813,1813,,-0.0017
2022/9/23 00:00,1816,1816,1816,1816,,0.0558
2022/9/22 00:00,1720,1720,1720,1720,,-0.0149
2022/9/21 00:00,1746,1746,1746,1746,,0.0098
2022/9/20 00:00,1729,1729,1729,1729,,0.1133
2022/9/16 00:00,1553,1553,1553,1553,,-0.0366
2022/9/15 00:00,1612,1612,1612,1612,,0.0107
2022/9/14 00:00,1595,1595,1595,1595,,0.1328
2022/9/13 00:00,1408,1408,1408,1408,,0.121
2022/9/12 00:00,1256,1256,1256,1256,,0.0354
2022/9/9 00:00,1213,1213,1213,1213,,0.0297
2022/9/8 00:00,1178,1178,1178,1178,,0.0397
2022/9/7 00:00,1133,1133,1133,1133,,0.0171
2022/9/6 00:00,1114,1114,1114,1114,,-0.0168
2022/9/5 00:00,1133,1133,1133,1133,,0.0433
2022/9/2 00:00,1086,1086,1086,1086,,0.0838
2022/9/1 00:00,1002,1002,1002,1002,,0.0383
2022/8/31 00:00,965,965,965,965,,-0.0511
2022/8/30 00:00,1017,1017,1017,1017,,-0.0601
2022/8/26 00:00,1082,1082,1082,1082,,-0.0365
2022/8/25 00:00,1123,1123,1123,1123,,-0.0742
